p,C(p)/C(0),L(p)/L(0)
0.0001,1.1580660158066014,1.7562704763950803
0.00012589254117941674,1.1580660158066014,1.7562704763950803
0.00015848931924611142,1.1580660158066014,1.7562704763950803
0.00019952623149688788,1.1531774900789131,1.734869995404933
0.00025118864315095795,1.1580660158066014,1.7562704763950803
0.00031622776601683794,1.1580660158066014,1.7562704763950803
0.00039810717055349735,1.1580660158066014,1.7562704763950803
0.0005011872336272725,1.1580660158066014,1.7562704763950803
0.000630957344480193,1.1580660158066014,1.7562704763950803
0.0007943282347242813,1.1520196813539343,1.671904446473435
0.001,1.1580660158066014,1.7562704763950803
0.0012589254117941675,1.1580660158066014,1.7562704763950803
0.001584893192461114,1.1292686370831693,1.3824450531416534
0.001995262314968879,1.1497040639039768,1.621232790876703
0.0025118864315095794,1.1401882752249581,1.4884067052174899
0.0031622776601683794,1.1436609298703133,1.4041707694052075
0.003981071705534973,1.1482911360641204,1.6253958023763062
0.005011872336272725,1.144818481418765,1.481251529202547
0.00630957344480193,1.121828264313319,1.2259418395784474
0.007943282347242814,1.1520196813539343,1.5026520101926946
0.01,1.110680081028088,1.236934791819587
0.012589254117941675,1.1413458267734098,1.3698909715881629
0.015848931924611134,1.06836209902371,1.0590310972662333
0.0199526231496888,1.0801513548007706,1.1312333279624756
0.025118864315095794,1.0621163724943132,1.0334025577218016
0.03162277660168379,1.0334931774529035,1.0096603827631272
0.039810717055349734,0.9834593809012478,0.9796736905550484
0.05011872336272722,0.9876944747137815,0.9341407522781389
0.06309573444801933,0.953356087511055,0.9137810241628922
0.07943282347242814,0.932064586290159,0.9074064128041249
0.1,0.838718220826908,0.8675976153391697
0.12589254117941673,0.7956788737299902,0.8410584170291996
0.15848931924611134,0.7027493423414841,0.8177065243986131
0.19952623149688797,0.6202024954483835,0.7935090200571698
0.251188643150958,0.5495097367257621,0.7777676328242954
0.31622776601683794,0.4463274811570326,0.7572127635450049
0.3981071705534972,0.31427163039334866,0.7429674585698003
0.5011872336272722,0.23906033904009338,0.723778577438817
0.6309573444801932,0.21313420952066825,0.7213067893609276
0.7943282347242815,0.17440459572924089,0.718119483681544
1.0,0.14757265586039323,0.712070107596183
